wall_clock_ms,server_total_processing_ms,embedding_ms,similarity_ms,predicted_label,node_role,item_id,gold_label,char_count,node
28.807599999709055,6.340956999338232,6.24197100114543,0.0953679991653189,Aligned,edge-unsandboxed,Q_164,Aligned,201,edge
31.438899983186275,6.9582900032401085,6.789783990825526,0.1635710068512708,Weakly Aligned,edge-unsandboxed,Q_190,Aligned,213,edge
29.329499986488372,6.807443001889624,6.738161988323554,0.0666530104354024,Aligned,edge-unsandboxed,Q_181,Aligned,190,edge
11.912700021639466,6.682089995592833,6.616377009777352,0.06315798964351416,Aligned,edge-unsandboxed,Q_196,Aligned,162,edge
33.96019997308031,7.789174007484689,7.6989270019112155,0.08656400314066559,Weakly Aligned,edge-unsandboxed,Q_168,Aligned,273,edge
14.086000010138378,6.634901990764774,6.566322001162916,0.06569499964825809,Weakly Aligned,edge-unsandboxed,Q_199,Aligned,197,edge
13.383599987719208,6.1180699995020404,6.054149998817593,0.06141900666989386,Weakly Aligned,edge-unsandboxed,Q_177,Aligned,153,edge
12.447799992514774,7.536989010986872,7.454735998180695,0.07935499888844788,Weakly Aligned,edge-unsandboxed,Q_176,Aligned,228,edge
22.531399998115376,7.143890004954301,7.0529759977944195,0.08743299986235797,Weakly Aligned,edge-unsandboxed,Q_183,Aligned,219,edge
23.261599999386817,6.432759997551329,6.361399995512329,0.06840500282123685,Aligned,edge-unsandboxed,Q_170,Aligned,211,edge
19.832300022244453,8.827241996186785,8.744100006879307,0.07955500041134655,Weakly Aligned,edge-unsandboxed,Q_084,Mismatched,298,edge
27.991099981591105,6.835198000771925,6.7658199986908585,0.0662340025883168,Weakly Aligned,edge-unsandboxed,Q_054,Mismatched,237,edge
11.396999994758517,6.8149550061207265,6.7275769979460165,0.08421599341090769,Weakly Aligned,edge-unsandboxed,Q_071,Mismatched,280,edge
33.14460002002306,6.5348860080121085,6.466207996709272,0.06589600525330752,Weakly Aligned,edge-unsandboxed,Q_046,Mismatched,222,edge
29.90600001066923,6.298899999819696,6.229287013411522,0.06644900713581592,Weakly Aligned,edge-unsandboxed,Q_045,Mismatched,227,edge
30.300900019938126,6.496517002233304,6.430602996260859,0.06307099829427898,Weakly Aligned,edge-unsandboxed,Q_040,Mismatched,260,edge
29.019499983405694,5.756543992902152,5.672697996487841,0.0811869977042079,Weakly Aligned,edge-unsandboxed,Q_023,Mismatched,154,edge
30.469899997115135,6.793587002903223,6.723938000504859,0.06704899715259671,Weakly Aligned,edge-unsandboxed,Q_081,Mismatched,309,edge
29.467299988027662,6.426930995075963,6.361277002724819,0.06309499440249056,Weakly Aligned,edge-unsandboxed,Q_011,Mismatched,179,edge
29.47779998066835,6.645496003329754,6.572771002538502,0.06961199687793851,Weakly Aligned,edge-unsandboxed,Q_001,Mismatched,231,edge
34.470099984901026,10.998390993336216,10.931078999419697,0.0644630054011941,Weakly Aligned,edge-unsandboxed,Q_114,Weakly Aligned,310,edge
26.20199997909367,7.028453997918405,6.959799997275695,0.06509599916171283,Mismatched,edge-unsandboxed,Q_140,Weakly Aligned,265,edge
32.64610000769608,8.814827000605874,8.743126003537327,0.06862198642920703,Mismatched,edge-unsandboxed,Q_131,Weakly Aligned,374,edge
27.46290000504814,6.699500008835457,6.634828008827753,0.062050006818026304,Weakly Aligned,edge-unsandboxed,Q_146,Weakly Aligned,269,edge
