label,request_index,item_id,embedding_ms,similarity_ms,total_processing_ms,predicted_label
cpu1.0_old,1,Q_004,391.61469899408985,0.1326950005022809,391.75254899600986,Weakly Aligned
cpu1.0_old,2,Q_005,97.14935898955446,0.0727239967091009,97.22496700123884,Weakly Aligned
cpu1.0_old,3,Q_006,473.06327799742576,0.06849400233477354,473.13484900223557,Weakly Aligned
cpu1.0_old,4,Q_007,192.03893399389926,0.09463299647904932,192.1374410012504,Weakly Aligned
cpu1.0_old,5,Q_008,85.8130200067535,0.06352699710987508,85.8794539963128,Weakly Aligned
cpu1.0_old,6,Q_009,403.03154500725213,0.098028001957573,403.13401899766177,Weakly Aligned
cpu1.0_old,7,Q_010,194.7032140014926,0.06696599302813411,194.77275799727067,Weakly Aligned
cpu1.0_old,8,Q_011,376.8783379928209,0.1298139977734536,377.01199599541724,Weakly Aligned
cpu1.0_old,9,Q_012,400.43761099514086,0.08820599759928882,400.52960300818086,Weakly Aligned
cpu1.0_old,10,Q_013,276.50471300876234,0.06692999158985913,276.5748070087284,Weakly Aligned
cpu1.0_old,11,Q_014,291.39638898777775,0.061847997130826116,291.46101900551,Weakly Aligned
cpu1.0_old,12,Q_015,276.73673500248697,0.0977509916992858,276.8369710101979,Weakly Aligned
cpu1.0_old,13,Q_016,195.92882200959139,0.07039400225039572,196.00189400080126,Weakly Aligned
cpu1.0_old,14,Q_017,391.24161801009905,0.06952400144655257,391.31346700014547,Aligned
cpu1.0_old,15,Q_018,177.4313549976796,0.07785401248838753,177.5118190125795,Weakly Aligned
cpu1.0_old,16,Q_019,404.4526030047564,0.0735569919925183,404.52974299842026,Weakly Aligned
cpu1.0_old,17,Q_020,102.67808400385547,0.10270100028719753,102.78466300223954,Weakly Aligned
cpu1.0_old,18,Q_001,678.0731949984329,0.08080500992946327,678.157424001256,Weakly Aligned
cpu1.0_old,19,Q_002,102.9896920081228,0.06342699634842575,103.0560529907234,Weakly Aligned
cpu1.0_old,20,Q_003,396.99935298995115,0.0635330070508644,397.0651960116811,Aligned
cpu1.0_old,21,Q_004,674.4108349957969,0.07197899685706943,674.4858140009455,Weakly Aligned
cpu1.0_old,22,Q_005,277.7658739942126,0.06574000872205943,277.8343840036541,Weakly Aligned
cpu1.0_old,23,Q_006,273.456665003323,0.08275899745058268,273.54288898641244,Weakly Aligned
cpu1.0_old,24,Q_007,490.04469299688935,0.09865799802355468,490.1471710036276,Weakly Aligned
cpu1.0_old,25,Q_008,384.0242910082452,0.0700310047250241,384.0972820034949,Weakly Aligned
cpu1.0_old,26,Q_009,377.03159499506,0.0642789964331314,377.098886994645,Weakly Aligned
cpu1.0_old,27,Q_010,103.99711898935493,0.07151698810048401,104.07145999488421,Weakly Aligned
cpu1.0_old,28,Q_011,579.8092990007717,0.06562199268955737,579.8771549889352,Weakly Aligned
cpu1.0_old,29,Q_012,387.6894179993542,0.06673799362033606,387.7586830058135,Weakly Aligned
cpu1.0_old,30,Q_013,574.674799994682,0.0648809946142137,574.7420840052655,Weakly Aligned
cpu1.0_new,1,Q_004,186.15659599890932,0.11070599430240691,187.09141899307724,Weakly Aligned
cpu1.0_new,2,Q_005,105.42505599732976,0.09121700713876635,106.11089599842671,Weakly Aligned
cpu1.0_new,3,Q_006,84.45261999440845,0.08160198922269046,85.0008510024054,Weakly Aligned
cpu1.0_new,4,Q_007,175.25004300114233,0.08319300832226872,175.87391899724025,Weakly Aligned
cpu1.0_new,5,Q_008,284.6337160008261,0.11254899436607957,285.46230899519287,Weakly Aligned
cpu1.0_new,6,Q_009,97.7047920023324,0.08725999214220792,190.47775599756278,Weakly Aligned
cpu1.0_new,7,Q_010,81.35857399611268,0.10666099842637777,81.8934560084017,Weakly Aligned
cpu1.0_new,8,Q_011,193.25495199882425,0.06937400030437857,193.7577320059063,Weakly Aligned
cpu1.0_new,9,Q_012,194.51444600417744,0.09705600677989423,195.09573499090038,Weakly Aligned
cpu1.0_new,10,Q_013,100.59320500295144,0.06620500062126666,101.04849599883892,Weakly Aligned
cpu1.0_new,11,Q_014,96.609243992134,0.10137900244444609,97.54898000392132,Aligned
cpu1.0_new,12,Q_015,83.01034799660556,0.06447800842579454,83.46878799784463,Aligned
cpu1.0_new,13,Q_016,278.1889439938823,0.07477500184904784,278.7301030039089,Aligned
cpu1.0_new,14,Q_017,79.39345399790909,0.08842900570016354,79.93005799653474,Weakly Aligned
cpu1.0_new,15,Q_018,95.80220098723657,0.08294900180771947,96.35809900646564,Aligned
cpu1.0_new,16,Q_019,290.89556699909735,0.10425900109112263,291.5911910095019,Weakly Aligned
cpu1.0_new,17,Q_020,193.05853199330159,0.06946299981791526,193.57809000939596,Weakly Aligned
cpu1.0_new,18,Q_001,90.3043979924405,0.09695399785414338,91.04257999570109,Aligned
cpu1.0_new,19,Q_002,102.66063500603195,0.09608799882698804,103.27067399339285,Weakly Aligned
cpu1.0_new,20,Q_003,195.22703399707098,0.08053099736571312,195.79786599206273,Weakly Aligned
cpu1.0_new,21,Q_004,106.54082799737807,0.1002630015136674,107.36854899732862,Weakly Aligned
cpu1.0_new,22,Q_005,97.58823600714095,0.07228899630717933,98.05780999886338,Weakly Aligned
cpu1.0_new,23,Q_006,179.49827799748164,0.08741900091990829,180.03287600004114,Weakly Aligned
cpu1.0_new,24,Q_007,178.33951899956446,0.07059199560899287,178.86374199588317,Weakly Aligned
cpu1.0_new,25,Q_008,79.69922000484075,0.0740690011298284,80.18385998730082,Weakly Aligned
cpu1.0_new,26,Q_009,179.9648989981506,0.06826900062151253,180.4731510055717,Weakly Aligned
cpu1.0_new,27,Q_010,179.48690100456588,0.06885400216560811,179.96852099895477,Weakly Aligned
cpu1.0_new,28,Q_011,86.52705900021829,0.08544701267965138,87.12911600014195,Weakly Aligned
cpu1.0_new,29,Q_012,78.07891699485481,0.07375399582087994,78.57110600161832,Weakly Aligned
cpu1.0_new,30,Q_013,195.17491599253844,0.07133500184863806,195.65142301144078,Weakly Aligned
cpu4.0_old,1,Q_004,7.423392991768196,0.10012999700848013,7.52758800808806,Weakly Aligned
cpu4.0_old,2,Q_005,63.08032700326294,0.11038599768653512,63.19612900551874,Weakly Aligned
cpu4.0_old,3,Q_006,6.933988988748752,0.10248400212731212,7.039985997835174,Weakly Aligned
cpu4.0_old,4,Q_007,6.543452996993437,0.0872249947860837,6.634301011217758,Weakly Aligned
cpu4.0_old,5,Q_008,7.370627994532697,0.07313399692066014,7.447411000612192,Weakly Aligned
cpu4.0_old,6,Q_009,6.790774001274258,0.11494399223010987,6.908866998855956,Weakly Aligned
cpu4.0_old,7,Q_010,68.43487999867648,0.09929099178407341,68.53823899291456,Weakly Aligned
cpu4.0_old,8,Q_011,6.251591999898665,0.06638999911956489,6.320501008303836,Weakly Aligned
cpu4.0_old,9,Q_012,52.53765199449845,0.06805099837947637,52.608369005611166,Weakly Aligned
cpu4.0_old,10,Q_013,6.201525000506081,0.06780299008823931,6.27211898972746,Weakly Aligned
cpu4.0_old,11,Q_014,5.729056007112376,0.06627300172112882,5.798669008072466,Weakly Aligned
cpu4.0_old,12,Q_015,26.190737989963964,0.10183699487242848,26.296834999811836,Weakly Aligned
cpu4.0_old,13,Q_016,5.9930060087936,0.0743060081731528,6.069980998290703,Weakly Aligned
cpu4.0_old,14,Q_017,6.059067003661767,0.06339600076898932,6.124763996922411,Aligned
cpu4.0_old,15,Q_018,6.078658989281394,0.07874199945945293,6.1603720096172765,Weakly Aligned
cpu4.0_old,16,Q_019,6.851204001577571,0.06994500290602446,6.924004992470145,Weakly Aligned
cpu4.0_old,17,Q_020,18.397278006887063,0.06617899634875357,18.46620099968277,Weakly Aligned
cpu4.0_old,18,Q_001,6.507961006718688,0.07764599286019802,6.588386997464113,Weakly Aligned
